pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
LTC/XRP,2.0,0.5,30,2.0,-0.0444,48.2,0.7784,46.5,64,1.6327,50.4
LTC/XRP,2.0,0.5,40,1.0,-0.0853,45.8,1.4928,47.2,52,3.8401,48.2
LTC/XRP,2.0,0.5,40,1.5,-0.0569,45.8,0.9952,47.2,52,2.56,48.2
LTC/XRP,2.0,0.5,40,2.0,-0.0428,45.8,0.7463,47.2,52,1.92,48.2
LTC/XRP,2.0,0.5,60,1.0,-1.7206,47.3,5.0203,46.7,38,5.9539,48.6
LTC/XRP,2.0,0.5,60,1.5,-1.1471,47.3,3.3468,46.7,38,3.9692,48.6
LTC/XRP,2.0,0.5,60,2.0,-0.8604,47.3,2.51,46.7,38,2.9768,48.6
LTC/XRP,2.0,0.8,20,1.0,0.8363,49.1,1.5141,48.5,93,2.0641,49.1
LTC/XRP,2.0,0.8,20,1.5,0.5575,49.1,1.0093,48.5,93,1.376,49.1
LTC/XRP,2.0,0.8,20,2.0,0.4181,49.1,0.757,48.5,93,1.0319,49.1
LTC/XRP,2.0,0.8,30,1.0,-1.8411,47.4,2.0402,47.5,68,2.2604,49.8
LTC/XRP,2.0,0.8,30,1.5,-1.2274,47.4,1.36,47.5,68,1.5068,49.8
LTC/XRP,2.0,0.8,30,2.0,-0.9206,47.4,1.02,47.5,68,1.1301,49.8
LTC/XRP,2.0,0.8,40,1.0,-0.5446,46.5,0.7674,49.5,54,2.8637,50.1
LTC/XRP,2.0,0.8,40,1.5,-0.3632,46.5,0.5115,49.5,54,1.9091,50.1
LTC/XRP,2.0,0.8,40,2.0,-0.2724,46.5,0.3836,49.5,54,1.4318,50.1
LTC/XRP,2.0,0.8,60,1.0,-1.8503,45.1,2.6185,48.9,38,4.5094,48.5
LTC/XRP,2.0,0.8,60,1.5,-1.2336,45.1,1.7456,48.9,38,3.0062,48.5
LTC/XRP,2.0,0.8,60,2.0,-0.9252,45.1,1.3092,48.9,38,2.2546,48.5
LTC/XRP,2.5,0.3,20,1.0,-1.9722,46.2,1.4215,47.9,41,3.3842,47.2
LTC/XRP,2.5,0.3,20,1.5,-1.3148,46.2,0.9476,47.9,41,2.2561,47.2
LTC/XRP,2.5,0.3,20,2.0,-0.9862,46.2,0.7106,47.9,41,1.692,47.2
LTC/XRP,2.5,0.3,30,1.0,-0.9425,47.7,1.3332,48.7,36,3.4997,48.2
