pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
XRP/ADA,2.0,0.3,30,1.5,1.6,49.6,0.8287,46.5,61,1.4632,45.8
XRP/ADA,2.0,0.3,30,2.0,1.1999,49.6,0.6215,46.5,61,1.0973,45.8
XRP/ADA,2.0,0.3,40,1.0,-0.3252,49.5,2.4169,49.2,54,-0.2377,44.6
XRP/ADA,2.0,0.3,40,1.5,-0.2169,49.5,1.6112,49.2,54,-0.1586,44.6
XRP/ADA,2.0,0.3,40,2.0,-0.1627,49.5,1.2084,49.2,54,-0.119,44.6
XRP/ADA,2.0,0.3,60,1.0,-0.5947,47.9,-0.3291,49.3,32,2.0835,47.6
XRP/ADA,2.0,0.3,60,1.5,-0.3966,47.9,-0.2194,49.3,32,1.3889,47.6
XRP/ADA,2.0,0.3,60,2.0,-0.2975,47.9,-0.1646,49.3,32,1.0416,47.6
XRP/ADA,2.0,0.5,20,1.0,1.8076,46.6,0.139,49.9,84,1.0364,49.8
XRP/ADA,2.0,0.5,20,1.5,1.205,46.6,0.0926,49.9,84,0.6909,49.8
XRP/ADA,2.0,0.5,20,2.0,0.9037,46.6,0.0694,49.9,84,0.5181,49.8
XRP/ADA,2.0,0.5,30,1.0,1.6099,48.3,0.8289,49.0,62,1.678,47.2
XRP/ADA,2.0,0.5,30,1.5,1.0732,48.3,0.5525,49.0,62,1.1186,47.2
XRP/ADA,2.0,0.5,30,2.0,0.8048,48.3,0.4143,49.0,62,0.8389,47.2
XRP/ADA,2.0,0.5,40,1.0,1.6039,48.3,2.3121,49.8,56,2.7351,48.4
XRP/ADA,2.0,0.5,40,1.5,1.0692,48.3,1.5413,49.8,56,1.8234,48.4
XRP/ADA,2.0,0.5,40,2.0,0.8019,48.3,1.1559,49.8,56,1.3675,48.4
XRP/ADA,2.0,0.5,60,1.0,0.4784,47.6,1.9708,49.2,36,1.7311,48.0
XRP/ADA,2.0,0.5,60,1.5,0.3189,47.6,1.3138,49.2,36,1.154,48.0
XRP/ADA,2.0,0.5,60,2.0,0.2391,47.6,0.9853,49.2,36,0.8655,48.0
XRP/ADA,2.0,0.8,20,1.0,2.4847,50.7,0.7137,49.8,86,1.3787,48.5
XRP/ADA,2.0,0.8,20,1.5,1.6564,50.7,0.4758,49.8,86,0.9191,48.5
XRP/ADA,2.0,0.8,20,2.0,1.2423,50.7,0.3568,49.8,86,0.6892,48.5
XRP/ADA,2.0,0.8,30,1.0,1.1494,49.8,0.0737,48.7,67,1.5215,46.6
XRP/ADA,2.0,0.8,30,1.5,0.7662,49.8,0.0491,48.7,67,1.0142,46.6
XRP/ADA,2.0,0.8,30,2.0,0.5746,49.8,0.0368,48.7,67,0.7606,46.6
XRP/ADA,2.0,0.8,40,1.0,0.8721,50.0,1.0545,48.4,58,2.4927,46.9
XRP/ADA,2.0,0.8,40,1.5,0.5813,50.0,0.7029,48.4,58,1.6617,46.9
XRP/ADA,2.0,0.8,40,2.0,0.436,50.0,0.5272,48.4,58,1.2462,46.9
XRP/ADA,2.0,0.8,60,1.0,-2.0291,48.9,-1.1137,48.4,38,4.218,49.5
XRP/ADA,2.0,0.8,60,1.5,-1.3528,48.9,-0.7426,48.4,38,2.8119,49.5
XRP/ADA,2.0,0.8,60,2.0,-1.0146,48.9,-0.557,48.4,38,2.1089,49.5
XRP/ADA,2.5,0.3,20,1.0,3.1064,48.7,1.9387,48.3,48,1.1016,50.1
XRP/ADA,2.5,0.3,20,1.5,2.0708,48.7,1.2924,48.3,48,0.7344,50.1
XRP/ADA,2.5,0.3,20,2.0,1.5531,48.7,0.9692,48.3,48,0.5507,50.1
XRP/ADA,2.5,0.3,30,1.0,1.501,50.7,1.9899,50.7,35,2.0438,47.8
XRP/ADA,2.5,0.3,30,1.5,1.0006,50.7,1.3265,50.7,35,1.3625,47.8
XRP/ADA,2.5,0.3,30,2.0,0.7504,50.7,0.9948,50.7,35,1.0218,47.8
XRP/ADA,2.5,0.3,40,1.0,-2.5319,47.8,2.5071,50.0,36,0.8991,46.4
XRP/ADA,2.5,0.3,40,1.5,-1.688,47.8,1.6714,50.0,36,0.5993,46.4
XRP/ADA,2.5,0.3,40,2.0,-1.2661,47.8,1.2535,50.0,36,0.4494,46.4
XRP/ADA,2.5,0.3,60,1.0,-2.4947,46.5,4.4223,52.0,23,2.927,47.5
XRP/ADA,2.5,0.3,60,1.5,-1.6632,46.5,2.9481,52.0,23,1.9513,47.5
XRP/ADA,2.5,0.3,60,2.0,-1.2474,46.5,2.211,52.0,23,1.4634,47.5
XRP/ADA,2.5,0.5,20,1.0,3.3938,49.2,1.9442,48.8,49,0.6913,49.7
XRP/ADA,2.5,0.5,20,1.5,2.2625,49.2,1.2961,48.8,49,0.4608,49.7
XRP/ADA,2.5,0.5,20,2.0,1.6968,49.2,0.972,48.8,49,0.3456,49.7
XRP/ADA,2.5,0.5,30,1.0,1.1256,49.2,2.2841,48.9,36,0.9163,46.9
XRP/ADA,2.5,0.5,30,1.5,0.7503,49.2,1.5227,48.9,36,0.6108,46.9
XRP/ADA,2.5,0.5,30,2.0,0.5627,49.2,1.142,48.9,36,0.458,46.9
XRP/ADA,2.5,0.5,40,1.0,0.0279,47.9,2.2129,49.5,36,2.815,49.6
XRP/ADA,2.5,0.5,40,1.5,0.0185,47.9,1.4752,49.5,36,1.8766,49.6
XRP/ADA,2.5,0.5,40,2.0,0.0138,47.9,1.1063,49.5,36,1.4074,49.6
XRP/ADA,2.5,0.5,60,1.0,-0.8544,47.3,5.007,48.5,24,2.5135,46.9
XRP/ADA,2.5,0.5,60,1.5,-0.5696,47.3,3.338,48.5,24,1.6756,46.9
XRP/ADA,2.5,0.5,60,2.0,-0.4273,47.3,2.5034,48.5,24,1.2566,46.9
XRP/ADA,2.5,0.8,20,1.0,3.3978,49.4,1.7764,49.9,49,1.2014,49.4
XRP/ADA,2.5,0.8,20,1.5,2.2651,49.4,1.1842,49.9,49,0.8009,49.4
XRP/ADA,2.5,0.8,20,2.0,1.6988,49.4,0.8881,49.9,49,0.6006,49.4
XRP/ADA,2.5,0.8,30,1.0,0.6596,50.0,0.8884,47.6,37,1.6018,47.3
XRP/ADA,2.5,0.8,30,1.5,0.4396,50.0,0.5922,47.6,37,1.0678,47.3
XRP/ADA,2.5,0.8,30,2.0,0.3297,50.0,0.4441,47.6,37,0.8008,47.3
XRP/ADA,2.5,0.8,40,1.0,-1.3714,50.1,1.1717,50.3,36,1.3244,48.6
XRP/ADA,2.5,0.8,40,1.5,-0.9143,50.1,0.7811,50.3,36,0.8829,48.6
XRP/ADA,2.5,0.8,40,2.0,-0.6858,50.1,0.5858,50.3,36,0.6621,48.6
XRP/ADA,2.5,0.8,60,1.0,-3.512,46.6,1.748,48.9,25,4.4326,49.1
XRP/ADA,2.5,0.8,60,1.5,-2.3414,46.6,1.1652,48.9,25,2.955,49.1
XRP/ADA,2.5,0.8,60,2.0,-1.7561,46.6,0.8739,48.9,25,2.2162,49.1
